"Make Id","Model Id","Submodel Id","Trim Id","Model Year","Make Name","Model Name","Submodel Name","Trim Name","Trim Description","Trim MSRP","Trim Invoice","Trim Created","Trim Modified"
2,7262,72354,6380,2020,Audi,"A5 Sportback",PRESTIGE,Prestige,"Prestige 4dr Hatchback AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",52600,49446,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,7262,72355,6378,2020,Audi,"A5 Sportback",Premium,Premium,"Premium 4dr Hatchback AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",42900,40327,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,7262,72356,6379,2020,Audi,"A5 Sportback","Premium Plus","Premium Plus","Premium Plus 4dr Hatchback AWD w/45 TFSI (2.0L 4cyl Turbo 7AM)",46700,43899,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,7383,72361,6393,2020,Audi,"A6 allroad","Premium Plus","Premium Plus","Premium Plus 4dr Wagon AWD w/3.0 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM)",65900,61948,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,7383,72360,6394,2020,Audi,"A6 allroad",PRESTIGE,Prestige,"Prestige 4dr Wagon AWD w/3.0 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM)",70400,66180,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,5643,72358,6387,2020,Audi,"A6 Quattro",Premium,Premium,"Premium 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)",54900,51608,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,5643,72357,6389,2020,Audi,"A6 Quattro",PRESTIGE,Prestige,"Prestige 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)",64800,60916,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,5643,72359,6391,2020,Audi,"A6 Quattro","Premium Plus","Premium Plus","Premium Plus 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM)",63500,59692,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,5643,72358,6390,2020,Audi,"A6 Quattro",Premium,Premium,"Premium 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM)",59800,56212,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,5643,72359,6388,2020,Audi,"A6 Quattro","Premium Plus","Premium Plus","Premium Plus 4dr Sedan AWD w/45 TFSI (2.0L 4cyl Turbo gas/electric mild hybrid 7AM)",58600,55088,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,5643,72357,6392,2020,Audi,"A6 Quattro",PRESTIGE,Prestige,"Prestige 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM)",69700,65520,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,7322,72362,6397,2020,Audi,"A7 Sportback",PRESTIGE,Prestige,"Prestige 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM)",79700,74920,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,7322,72363,6395,2020,Audi,"A7 Sportback",Premium,Premium,"Premium 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM)",69000,64860,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,7322,72364,6396,2020,Audi,"A7 Sportback","Premium Plus","Premium Plus","Premium Plus 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 7AM)",73600,69184,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,5773,72365,6400,2020,Audi,"A8 Quattro",L,L,"L 4dr Sedan AWD w/60 TFSI (4.0L 8cyl Turbo gas/electric mild hybrid 8A)",96800,90992,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,5773,72365,6398,2020,Audi,"A8 Quattro",L,L,"L 4dr Sedan AWD w/55 TFSI (3.0L 6cyl Turbo gas/electric mild hybrid 8A)",85200,80088,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,5773,72366,6399,2020,Audi,"A8 Quattro","L Plug-In Hybrid",L,"L 4dr Sedan AWD w/60 TFSI e (3.0L 6cyl Turbo gas/electric plug-in hybrid 8A)",94000,88360,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,7389,72425,6402,2020,Audi,"e-tron Sportback",PRESTIGE,Prestige,"Prestige 4dr SUV AWD w/55 (electric DD)",83400,0,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,7389,72426,6401,2020,Audi,"e-tron Sportback","Premium Plus","Premium Plus","Premium Plus 4dr SUV AWD w/55 (electric DD)",77400,0,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,7063,72400,6407,2020,Audi,Q3,"S-Line Prestige","Prestige S line","Prestige S line 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 8A)",42900,40328,"6/29/23, 8:59 PM","6/29/23, 9:31 PM"
2,7063,72396,6403,2020,Audi,Q3,Premium,Premium,"Premium 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 8A)",34700,32620,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
2,7063,72397,6405,2020,Audi,Q3,"Premium Plus","Premium Plus","Premium Plus 4dr SUV AWD w/45 TFSI (2.0L 4cyl Turbo 8A)",37800,35536,"6/29/23, 8:59 PM","6/29/23, 9:24 PM"
