"Make Id","Model Id","Submodel Id","Model Year","Make Name","Model Name","Submodel Name","Submodel Created","Submodel Modified"
3,7066,72456,2020,BMW,M4,CS,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7066,72455,2020,BMW,M4,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,5102,72509,2020,BMW,M5,Competition,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,5102,72508,2020,BMW,M5,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,5102,72510,2020,BMW,M5,"Edition 35 Years","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7267,72511,2020,BMW,"M550i xDrive",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7203,72516,2020,BMW,"M760i xDrive",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7394,72458,2020,BMW,M8,Competition,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7394,72457,2020,BMW,M8,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7395,72460,2020,BMW,"M8 Gran Coupe",Competition,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7395,72459,2020,BMW,"M8 Gran Coupe",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7326,72461,2020,BMW,"M850i xDrive",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7396,72462,2020,BMW,"M850i xDrive Gran Coupe",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6884,72463,2020,BMW,X1,sDrive28i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6884,72464,2020,BMW,X1,xDrive28i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7264,72467,2020,BMW,X2,xDrive28i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7264,72466,2020,BMW,X2,sDrive28i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7264,72465,2020,BMW,X2,M35i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6329,72495,2020,BMW,X3,M,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6329,72500,2020,BMW,X3,xDrive30i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6329,72499,2020,BMW,X3,xDrive30e,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6329,72498,2020,BMW,X3,sDrive30i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6329,72497,2020,BMW,X3,M40i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6329,72496,2020,BMW,X3,"M Competition","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7067,72504,2020,BMW,X4,xDrive30i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7067,72503,2020,BMW,X4,M40i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7067,72502,2020,BMW,X4,"M Competition","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7067,72501,2020,BMW,X4,M,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,5991,72470,2020,BMW,X5,M50i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,5991,72473,2020,BMW,X5,xDrive50i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,5991,72469,2020,BMW,X5,"M Competition","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,5991,72471,2020,BMW,X5,sDrive40i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,5991,72468,2020,BMW,X5,M,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,5991,72472,2020,BMW,X5,xDrive40i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6654,72474,2020,BMW,X6,M,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6654,72478,2020,BMW,X6,xDrive40i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6654,72475,2020,BMW,X6,"M Competition","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6654,72477,2020,BMW,X6,sDrive40i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6654,72476,2020,BMW,X6,M50i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7327,72481,2020,BMW,X7,xDrive50i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7327,72479,2020,BMW,X7,M50i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7327,72480,2020,BMW,X7,xDrive40i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6232,72484,2020,BMW,Z4,sDrive30i,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6232,72483,2020,BMW,Z4,"sDrive M40i","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6232,72482,2020,BMW,Z4,"M40i First Edition","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
56,7271,72526,2020,Bugatti,Chiron,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
56,7402,72527,2020,Bugatti,Divo,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
4,6648,72174,2020,Buick,Enclave,Avenir,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
4,6648,72175,2020,Buick,Enclave,Essence,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
4,6648,72176,2020,Buick,Enclave,Preferred,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
4,6648,72177,2020,Buick,Enclave,Premium,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
4,6942,72187,2020,Buick,Encore,Essence,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
4,6942,72189,2020,Buick,Encore,"SPORT TOURING","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
4,6942,72186,2020,Buick,Encore,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
4,6942,72188,2020,Buick,Encore,Preferred,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
4,7378,72180,2020,Buick,"Encore GX",Select,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
4,7378,72178,2020,Buick,"Encore GX",Essence,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
4,7378,72179,2020,Buick,"Encore GX",Preferred,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
