"Make Id","Model Id","Submodel Id","Trim Id","Mileage Id","Model Year","Make Name","Model Name","Submodel Name","Trim Name","Trim Description","Mileage Fuel Tank Capacity","Mileage Combined Mpg","Mileage Epa City Mpg","Mileage Epa Highway Mpg","Mileage Range City","Mileage Range Highway","Mileage Epa Combined Mpg Electric","Mileage Epa City Mpg Electric","Mileage Epa Highway Mpg Electric","Mileage Range Electric","Mileage Epa Kwh 100 Mi Electric","Mileage Epa Time To Charge Hr 240v Electric","Mileage Battery Capacity Electric","Mileage Created","Mileage Modified"
24,3306,72333,6343,6343,2020,"Alfa Romeo",Giulia,TI,"Ti Sport","Ti Sport 4dr Sedan (2.0L 4cyl Turbo 8A)",15.3,27,24,33,367,505,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
24,3306,72333,6345,6345,2020,"Alfa Romeo",Giulia,TI,"Ti Sport Carbon","Ti Sport Carbon 4dr Sedan (2.0L 4cyl Turbo 8A)",15.3,27,24,33,367,505,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
24,3306,72333,6346,6346,2020,"Alfa Romeo",Giulia,TI,"Ti Sport Carbon","Ti Sport Carbon 4dr Sedan AWD (2.0L 4cyl Turbo 8A)",15.3,26,23,31,352,474,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
24,7261,72334,6348,6348,2020,"Alfa Romeo",Stelvio,Base,Base,"4dr SUV (2.0L 4cyl Turbo 8A)",16.9,25,22,29,372,490,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
24,7261,72334,6349,6349,2020,"Alfa Romeo",Stelvio,Base,Base,"4dr SUV AWD (2.0L 4cyl Turbo 8A)",16.9,24,22,28,372,473,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
24,7261,72335,6356,6356,2020,"Alfa Romeo",Stelvio,Quadrifoglio,Quadrifoglio,"Quadrifoglio 4dr SUV AWD (2.9L 6cyl Turbo 8A)",16.9,19,17,23,287,389,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
24,7261,72336,6351,6351,2020,"Alfa Romeo",Stelvio,Sport,Sport,"Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A)",16.9,24,22,28,372,473,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
24,7261,72336,6350,6350,2020,"Alfa Romeo",Stelvio,Sport,Sport,"Sport 4dr SUV (2.0L 4cyl Turbo 8A)",16.9,25,22,29,372,490,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
24,7261,72337,6352,6352,2020,"Alfa Romeo",Stelvio,TI,Ti,"Ti 4dr SUV AWD (2.0L 4cyl Turbo 8A)",16.9,24,22,28,372,473,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
24,7261,72337,6353,6353,2020,"Alfa Romeo",Stelvio,TI,"Ti Lusso","Ti Lusso 4dr SUV AWD (2.0L 4cyl Turbo 8A)",16.9,24,22,28,372,473,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
24,7261,72337,6354,6354,2020,"Alfa Romeo",Stelvio,TI,"Ti Sport","Ti Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A)",16.9,24,22,28,372,473,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
24,7261,72337,6355,6355,2020,"Alfa Romeo",Stelvio,TI,"Ti Sport Carbon","Ti Sport Carbon 4dr SUV AWD (2.0L 4cyl Turbo 8A)",16.9,24,22,28,372,473,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
44,7187,72344,6359,6359,2020,"Aston Martin",DB11,AMR,AMR,"AMR 2dr Coupe (5.2L 12cyl Turbo 8A)",20.5,17,15,21,308,431,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
44,7187,72345,6358,6358,2020,"Aston Martin",DB11,Base,V8,"V8 2dr Coupe (4.0L 8cyl Turbo 8A)",20.5,20,18,24,369,492,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
44,7187,72346,6357,6357,2020,"Aston Martin",DB11,Volante,"V8 Volante","V8 Volante 2dr Convertible (4.0L 8cyl Turbo 8A)",20.5,20,18,24,369,492,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
44,3770,72342,6361,6361,2020,"Aston Martin",DBS,Superleggera,Base,"2dr Coupe (5.2L 12cyl Turbo 8A)",,17,14,22,0,0,,,,,,,,"6/29/23, 9:01 PM","6/29/23, 9:01 PM"
44,3770,72343,6360,6360,2020,"Aston Martin",DBS,"Superleggera Volante",Volante,"Volante 2dr Convertible (5.2L 12cyl Turbo 8A)",,17,14,22,0,0,,,,,,,,"6/29/23, 9:01 PM","6/29/23, 9:01 PM"
